age,sex,ftotinc,n
34,male,"$30,000 to $34,999",718
34,male,"$35,000 to $39,999",694
34,male,"$40,000 to $44,999",878
34,male,"$45,000 to $49,999",711
34,male,"$50,000 to $54,999",806
34,male,"$55,000 to $59,999",653
34,male,"$60,000 to $64,999",761
34,male,"$65,000 to $69,999",651
34,male,"$70,000 to $74,999",672
34,male,"$75,000 to $79,999",605
34,male,"$80,000 to $84,999",657
34,male,"$85,000 to $89,999",542
34,male,"$90,000 to $94,999",553
34,male,"$95,000 to $99,999",512
34,male,"Less than $14,999",861
34,female,"$100,000 to $124,999",2102
34,female,"$125,000 to $149,999",1352
34,female,"$15,000 to $19,999",557
34,female,"$150,000 to $174,999",906
34,female,"$175,000 to $199,999",576
34,female,"$20,000 to $24,999",684
34,female,"$200,000 to $249,999",626
34,female,"$25,000 to $29,999",671
34,female,"$250,000 and above",1266
34,female,"$30,000 to $34,999",807
34,female,"$35,000 to $39,999",708
34,female,"$40,000 to $44,999",764
34,female,"$45,000 to $49,999",690
34,female,"$50,000 to $54,999",746
34,female,"$55,000 to $59,999",570
34,female,"$60,000 to $64,999",744
34,female,"$65,000 to $69,999",605
34,female,"$70,000 to $74,999",629
34,female,"$75,000 to $79,999",577
34,female,"$80,000 to $84,999",604
34,female,"$85,000 to $89,999",538
34,female,"$90,000 to $94,999",600
34,female,"$95,000 to $99,999",432
34,female,"Less than $14,999",1205
35,male,"$100,000 to $124,999",2057
35,male,"$125,000 to $149,999",1331
35,male,"$15,000 to $19,999",450
35,male,"$150,000 to $174,999",941
35,male,"$175,000 to $199,999",540
35,male,"$20,000 to $24,999",562
35,male,"$200,000 to $249,999",649
35,male,"$25,000 to $29,999",563
35,male,"$250,000 and above",2088
35,male,"$30,000 to $34,999",764
35,male,"$35,000 to $39,999",699
35,male,"$40,000 to $44,999",737
35,male,"$45,000 to $49,999",695
35,male,"$50,000 to $54,999",755
35,male,"$55,000 to $59,999",590
35,male,"$60,000 to $64,999",719
35,male,"$65,000 to $69,999",575
35,male,"$70,000 to $74,999",649
35,male,"$75,000 to $79,999",582
35,male,"$80,000 to $84,999",602
35,male,"$85,000 to $89,999",515
35,male,"$90,000 to $94,999",575
35,male,"$95,000 to $99,999",441
35,male,"Less than $14,999",922
35,female,"$100,000 to $124,999",2143
35,female,"$125,000 to $149,999",1373
35,female,"$15,000 to $19,999",501
35,female,"$150,000 to $174,999",1008
35,female,"$175,000 to $199,999",579
35,female,"$20,000 to $24,999",627
35,female,"$200,000 to $249,999",692
35,female,"$25,000 to $29,999",666
35,female,"$250,000 and above",1243
35,female,"$30,000 to $34,999",774
35,female,"$35,000 to $39,999",686
35,female,"$40,000 to $44,999",802
35,female,"$45,000 to $49,999",668
35,female,"$50,000 to $54,999",716
35,female,"$55,000 to $59,999",590
35,female,"$60,000 to $64,999",674
35,female,"$65,000 to $69,999",608
35,female,"$70,000 to $74,999",667
35,female,"$75,000 to $79,999",579
35,female,"$80,000 to $84,999",583
35,female,"$85,000 to $89,999",491
35,female,"$90,000 to $94,999",539
35,female,"$95,000 to $99,999",474
35,female,"Less than $14,999",1202
36,male,"$100,000 to $124,999",2240
36,male,"$125,000 to $149,999",1506
36,male,"$15,000 to $19,999",420
36,male,"$150,000 to $174,999",920
36,male,"$175,000 to $199,999",654
36,male,"$20,000 to $24,999",556
36,male,"$200,000 to $249,999",647
36,male,"$25,000 to $29,999",556
36,male,"$250,000 and above",2302
36,male,"$30,000 to $34,999",651
36,male,"$35,000 to $39,999",661
36,male,"$40,000 to $44,999",757
36,male,"$45,000 to $49,999",664
36,male,"$50,000 to $54,999",799
36,male,"$55,000 to $59,999",641
36,male,"$60,000 to $64,999",700
36,male,"$65,000 to $69,999",624
36,male,"$70,000 to $74,999",683
36,male,"$75,000 to $79,999",612
36,male,"$80,000 to $84,999",664
36,male,"$85,000 to $89,999",505
36,male,"$90,000 to $94,999",569
36,male,"$95,000 to $99,999",495
36,male,"Less than $14,999",864
36,female,"$100,000 to $124,999",2235
36,female,"$125,000 to $149,999",1476
36,female,"$15,000 to $19,999",553
36,female,"$150,000 to $174,999",1030
36,female,"$175,000 to $199,999",643
36,female,"$20,000 to $24,999",680
36,female,"$200,000 to $249,999",789
36,female,"$25,000 to $29,999",670
36,female,"$250,000 and above",1394
36,female,"$30,000 to $34,999",789
36,female,"$35,000 to $39,999",701
36,female,"$40,000 to $44,999",747
36,female,"$45,000 to $49,999",692
36,female,"$50,000 to $54,999",753
36,female,"$55,000 to $59,999",589
36,female,"$60,000 to $64,999",709
36,female,"$65,000 to $69,999",570
36,female,"$70,000 to $74,999",667
36,female,"$75,000 to $79,999",576
36,female,"$80,000 to $84,999",610
36,female,"$85,000 to $89,999",540
36,female,"$90,000 to $94,999",590
36,female,"$95,000 to $99,999",465
36,female,"Less than $14,999",1180
37,male,"$100,000 to $124,999",2217
37,male,"$125,000 to $149,999",1473
37,male,"$15,000 to $19,999",390
37,male,"$150,000 to $174,999",957
37,male,"$175,000 to $199,999",572
37,male,"$20,000 to $24,999",547
37,male,"$200,000 to $249,999",725
37,male,"$25,000 to $29,999",562
37,male,"$250,000 and above",2349
37,male,"$30,000 to $34,999",670
37,male,"$35,000 to $39,999",653
37,male,"$40,000 to $44,999",726
37,male,"$45,000 to $49,999",586
37,male,"$50,000 to $54,999",758
37,male,"$55,000 to $59,999",593
37,male,"$60,000 to $64,999",711
37,male,"$65,000 to $69,999",604
37,male,"$70,000 to $74,999",669
37,male,"$75,000 to $79,999",642
37,male,"$80,000 to $84,999",589
37,male,"$85,000 to $89,999",485
37,male,"$90,000 to $94,999",542
37,male,"$95,000 to $99,999",415
37,male,"Less than $14,999",805
37,female,"$100,000 to $124,999",2213
37,female,"$125,000 to $149,999",1410
37,female,"$15,000 to $19,999",473
37,female,"$150,000 to $174,999",1073
37,female,"$175,000 to $199,999",652
37,female,"$20,000 to $24,999",666
37,female,"$200,000 to $249,999",779
37,female,"$25,000 to $29,999",537
37,female,"$250,000 and above",1485
37,female,"$30,000 to $34,999",677
37,female,"$35,000 to $39,999",666
37,female,"$40,000 to $44,999",709
37,female,"$45,000 to $49,999",663
37,female,"$50,000 to $54,999",748
37,female,"$55,000 to $59,999",577
37,female,"$60,000 to $64,999",686
37,female,"$65,000 to $69,999",616
37,female,"$70,000 to $74,999",655
37,female,"$75,000 to $79,999",566
37,female,"$80,000 to $84,999",597
37,female,"$85,000 to $89,999",509
37,female,"$90,000 to $94,999",558
37,female,"$95,000 to $99,999",477
37,female,"Less than $14,999",1144
38,male,"$100,000 to $124,999",2236
38,male,"$125,000 to $149,999",1432
38,male,"$15,000 to $19,999",397
38,male,"$150,000 to $174,999",1015
38,male,"$175,000 to $199,999",613
38,male,"$20,000 to $24,999",490
38,male,"$200,000 to $249,999",781
38,male,"$25,000 to $29,999",503
38,male,"$250,000 and above",2200
38,male,"$30,000 to $34,999",613
38,male,"$35,000 to $39,999",577
38,male,"$40,000 to $44,999",668
38,male,"$45,000 to $49,999",575
38,male,"$50,000 to $54,999",739
38,male,"$55,000 to $59,999",534
38,male,"$60,000 to $64,999",718
38,male,"$65,000 to $69,999",568
38,male,"$70,000 to $74,999",620
38,male,"$75,000 to $79,999",545
38,male,"$80,000 to $84,999",632
38,male,"$85,000 to $89,999",527
38,male,"$90,000 to $94,999",554
38,male,"$95,000 to $99,999",505
38,male,"Less than $14,999",832
38,female,"$100,000 to $124,999",2250
38,female,"$125,000 to $149,999",1507
38,female,"$15,000 to $19,999",526
38,female,"$150,000 to $174,999",1053
38,female,"$175,000 to $199,999",666
38,female,"$20,000 to $24,999",614
38,female,"$200,000 to $249,999",780
38,female,"$25,000 to $29,999",612
38,female,"$250,000 and above",1537
38,female,"$30,000 to $34,999",699
38,female,"$35,000 to $39,999",661
38,female,"$40,000 to $44,999",676
38,female,"$45,000 to $49,999",644
38,female,"$50,000 to $54,999",690
38,female,"$55,000 to $59,999",638
38,female,"$60,000 to $64,999",670
38,female,"$65,000 to $69,999",565
38,female,"$70,000 to $74,999",627
38,female,"$75,000 to $79,999",577
38,female,"$80,000 to $84,999",615
38,female,"$85,000 to $89,999",505
38,female,"$90,000 to $94,999",553
38,female,"$95,000 to $99,999",422
38,female,"Less than $14,999",1055
39,male,"$100,000 to $124,999",2169
39,male,"$125,000 to $149,999",1444
39,male,"$15,000 to $19,999",378
39,male,"$150,000 to $174,999",1008
39,male,"$175,000 to $199,999",586
39,male,"$20,000 to $24,999",511
39,male,"$200,000 to $249,999",677
39,male,"$25,000 to $29,999",510
39,male,"$250,000 and above",2336
39,male,"$30,000 to $34,999",673
39,male,"$35,000 to $39,999",645
39,male,"$40,000 to $44,999",661
39,male,"$45,000 to $49,999",637
39,male,"$50,000 to $54,999",753
39,male,"$55,000 to $59,999",572
39,male,"$60,000 to $64,999",709
39,male,"$65,000 to $69,999",601
39,male,"$70,000 to $74,999",611
39,male,"$75,000 to $79,999",616
39,male,"$80,000 to $84,999",598
39,male,"$85,000 to $89,999",509
39,male,"$90,000 to $94,999",564
39,male,"$95,000 to $99,999",462
39,male,"Less than $14,999",848
39,female,"$100,000 to $124,999",2228
39,female,"$125,000 to $149,999",1449
39,female,"$15,000 to $19,999",499
39,female,"$150,000 to $174,999",947
39,female,"$175,000 to $199,999",699
39,female,"$20,000 to $24,999",644
39,female,"$200,000 to $249,999",790
39,female,"$25,000 to $29,999",596
39,female,"$250,000 and above",1536
39,female,"$30,000 to $34,999",689
39,female,"$35,000 to $39,999",660
39,female,"$40,000 to $44,999",650
39,female,"$45,000 to $49,999",608
39,female,"$50,000 to $54,999",745
39,female,"$55,000 to $59,999",588
39,female,"$60,000 to $64,999",686
39,female,"$65,000 to $69,999",541
39,female,"$70,000 to $74,999",654
39,female,"$75,000 to $79,999",575
39,female,"$80,000 to $84,999",624
39,female,"$85,000 to $89,999",510
39,female,"$90,000 to $94,999",571
39,female,"$95,000 to $99,999",456
39,female,"Less than $14,999",1097
40,male,"$100,000 to $124,999",2157
40,male,"$125,000 to $149,999",1422
40,male,"$15,000 to $19,999",361
40,male,"$150,000 to $174,999",977
40,male,"$175,000 to $199,999",608
40,male,"$20,000 to $24,999",473
40,male,"$200,000 to $249,999",802
40,male,"$25,000 to $29,999",467
40,male,"$250,000 and above",2392
40,male,"$30,000 to $34,999",569
40,male,"$35,000 to $39,999",551
40,male,"$40,000 to $44,999",607
40,male,"$45,000 to $49,999",616
40,male,"$50,000 to $54,999",667
40,male,"$55,000 to $59,999",518
40,male,"$60,000 to $64,999",649
40,male,"$65,000 to $69,999",543
40,male,"$70,000 to $74,999",626
40,male,"$75,000 to $79,999",542
40,male,"$80,000 to $84,999",578
40,male,"$85,000 to $89,999",480
40,male,"$90,000 to $94,999",553
40,male,"$95,000 to $99,999",414
40,male,"Less than $14,999",750
40,female,"$100,000 to $124,999",2120
40,female,"$125,000 to $149,999",1450
40,female,"$15,000 to $19,999",510
40,female,"$150,000 to $174,999",1018
40,female,"$175,000 to $199,999",650
40,female,"$20,000 to $24,999",586
40,female,"$200,000 to $249,999",827
40,female,"$25,000 to $29,999",556
40,female,"$250,000 and above",1517
40,female,"$30,000 to $34,999",695
40,female,"$35,000 to $39,999",635
40,female,"$40,000 to $44,999",651
40,female,"$45,000 to $49,999",579
40,female,"$50,000 to $54,999",682
40,female,"$55,000 to $59,999",526
40,female,"$60,000 to $64,999",630
40,female,"$65,000 to $69,999",539
40,female,"$70,000 to $74,999",576
40,female,"$75,000 to $79,999",525
40,female,"$80,000 to $84,999",574
40,female,"$85,000 to $89,999",501
40,female,"$90,000 to $94,999",499
40,female,"$95,000 to $99,999",474
40,female,"Less than $14,999",1016
41,male,"$100,000 to $124,999",2135
41,male,"$125,000 to $149,999",1440
41,male,"$15,000 to $19,999",375
41,male,"$150,000 to $174,999",1001
41,male,"$175,000 to $199,999",639
41,male,"$20,000 to $24,999",578
41,male,"$200,000 to $249,999",794
41,male,"$25,000 to $29,999",542
41,male,"$250,000 and above",2535
41,male,"$30,000 to $34,999",637
41,male,"$35,000 to $39,999",623
41,male,"$40,000 to $44,999",615
41,male,"$45,000 to $49,999",591
41,male,"$50,000 to $54,999",631
41,male,"$55,000 to $59,999",556
41,male,"$60,000 to $64,999",658
41,male,"$65,000 to $69,999",562
41,male,"$70,000 to $74,999",625
41,male,"$75,000 to $79,999",539
41,male,"$80,000 to $84,999",627
41,male,"$85,000 to $89,999",494
41,male,"$90,000 to $94,999",568
41,male,"$95,000 to $99,999",452
41,male,"Less than $14,999",835
41,female,"$100,000 to $124,999",2264
41,female,"$125,000 to $149,999",1579
41,female,"$15,000 to $19,999",528
41,female,"$150,000 to $174,999",1056
41,female,"$175,000 to $199,999",662
41,female,"$20,000 to $24,999",625
41,female,"$200,000 to $249,999",834
41,female,"$25,000 to $29,999",596
41,female,"$250,000 and above",1564
41,female,"$30,000 to $34,999",657
41,female,"$35,000 to $39,999",674
41,female,"$40,000 to $44,999",718
41,female,"$45,000 to $49,999",619
41,female,"$50,000 to $54,999",687
41,female,"$55,000 to $59,999",559
41,female,"$60,000 to $64,999",656
41,female,"$65,000 to $69,999",572
41,female,"$70,000 to $74,999",621
41,female,"$75,000 to $79,999",542
41,female,"$80,000 to $84,999",616
41,female,"$85,000 to $89,999",478
41,female,"$90,000 to $94,999",535
41,female,"$95,000 to $99,999",472
41,female,"Less than $14,999",1109
42,male,"$100,000 to $124,999",2106
42,male,"$125,000 to $149,999",1424
42,male,"$15,000 to $19,999",365
42,male,"$150,000 to $174,999",1019
42,male,"$175,000 to $199,999",649
42,male,"$20,000 to $24,999",487
42,male,"$200,000 to $249,999",774
42,male,"$25,000 to $29,999",443
42,male,"$250,000 and above",2296
42,male,"$30,000 to $34,999",575
42,male,"$35,000 to $39,999",502
42,male,"$40,000 to $44,999",599
42,male,"$45,000 to $49,999",497
42,male,"$50,000 to $54,999",628
42,male,"$55,000 to $59,999",494
42,male,"$60,000 to $64,999",613
42,male,"$65,000 to $69,999",497
42,male,"$70,000 to $74,999",490
42,male,"$75,000 to $79,999",477
42,male,"$80,000 to $84,999",553
42,male,"$85,000 to $89,999",468
42,male,"$90,000 to $94,999",521
42,male,"$95,000 to $99,999",412
42,male,"Less than $14,999",759
42,female,"$100,000 to $124,999",2132
42,female,"$125,000 to $149,999",1466
42,female,"$15,000 to $19,999",442
42,female,"$150,000 to $174,999",1082
42,female,"$175,000 to $199,999",668
42,female,"$20,000 to $24,999",500
42,female,"$200,000 to $249,999",792
42,female,"$25,000 to $29,999",515
42,female,"$250,000 and above",1621
42,female,"$30,000 to $34,999",612
42,female,"$35,000 to $39,999",559
42,female,"$40,000 to $44,999",631
42,female,"$45,000 to $49,999",587
42,female,"$50,000 to $54,999",614
42,female,"$55,000 to $59,999",526
42,female,"$60,000 to $64,999",640
42,female,"$65,000 to $69,999",517
42,female,"$70,000 to $74,999",575
42,female,"$75,000 to $79,999",512
42,female,"$80,000 to $84,999",555
42,female,"$85,000 to $89,999",489
42,female,"$90,000 to $94,999",535
42,female,"$95,000 to $99,999",454
42,female,"Less than $14,999",995
43,male,"$100,000 to $124,999",2061
43,male,"$125,000 to $149,999",1444
43,male,"$15,000 to $19,999",344
43,male,"$150,000 to $174,999",1004
43,male,"$175,000 to $199,999",627
43,male,"$20,000 to $24,999",428
43,male,"$200,000 to $249,999",795
43,male,"$25,000 to $29,999",450
43,male,"$250,000 and above",2234
43,male,"$30,000 to $34,999",539
43,male,"$35,000 to $39,999",510
43,male,"$40,000 to $44,999",597
43,male,"$45,000 to $49,999",543
43,male,"$50,000 to $54,999",604
43,male,"$55,000 to $59,999",461
43,male,"$60,000 to $64,999",598
43,male,"$65,000 to $69,999",526
43,male,"$70,000 to $74,999",563
43,male,"$75,000 to $79,999",498
43,male,"$80,000 to $84,999",571
43,male,"$85,000 to $89,999",447
43,male,"$90,000 to $94,999",537
43,male,"$95,000 to $99,999",428
43,male,"Less than $14,999",758
43,female,"$100,000 to $124,999",2014
43,female,"$125,000 to $149,999",1489
43,female,"$15,000 to $19,999",499
43,female,"$150,000 to $174,999",1080
43,female,"$175,000 to $199,999",637
43,female,"$20,000 to $24,999",542
43,female,"$200,000 to $249,999",847
43,female,"$25,000 to $29,999",537
43,female,"$250,000 and above",1611
43,female,"$30,000 to $34,999",600
43,female,"$35,000 to $39,999",593
43,female,"$40,000 to $44,999",607
43,female,"$45,000 to $49,999",602
43,female,"$50,000 to $54,999",643
43,female,"$55,000 to $59,999",511
43,female,"$60,000 to $64,999",589
43,female,"$65,000 to $69,999",518
43,female,"$70,000 to $74,999",576
43,female,"$75,000 to $79,999",518
43,female,"$80,000 to $84,999",546
43,female,"$85,000 to $89,999",464
43,female,"$90,000 to $94,999",477
43,female,"$95,000 to $99,999",425
43,female,"Less than $14,999",960
44,male,"$100,000 to $124,999",2224
44,male,"$125,000 to $149,999",1453
44,male,"$15,000 to $19,999",351
44,male,"$150,000 to $174,999",1015
44,male,"$175,000 to $199,999",704
44,male,"$20,000 to $24,999",436
44,male,"$200,000 to $249,999",850
44,male,"$25,000 to $29,999",398
44,male,"$250,000 and above",2270
44,male,"$30,000 to $34,999",557
44,male,"$35,000 to $39,999",545
44,male,"$40,000 to $44,999",552
44,male,"$45,000 to $49,999",497
44,male,"$50,000 to $54,999",591
44,male,"$55,000 to $59,999",501
44,male,"$60,000 to $64,999",562
44,male,"$65,000 to $69,999",513
44,male,"$70,000 to $74,999",577
44,male,"$75,000 to $79,999",537
44,male,"$80,000 to $84,999",526
44,male,"$85,000 to $89,999",462
44,male,"$90,000 to $94,999",509
44,male,"$95,000 to $99,999",434
44,male,"Less than $14,999",708
44,female,"$100,000 to $124,999",2187
44,female,"$125,000 to $149,999",1444
44,female,"$15,000 to $19,999",457
44,female,"$150,000 to $174,999",1080
44,female,"$175,000 to $199,999",679
44,female,"$20,000 to $24,999",499
44,female,"$200,000 to $249,999",823
44,female,"$25,000 to $29,999",518
44,female,"$250,000 and above",1551
44,female,"$30,000 to $34,999",627
44,female,"$35,000 to $39,999",529
44,female,"$40,000 to $44,999",590
44,female,"$45,000 to $49,999",588
44,female,"$50,000 to $54,999",605
44,female,"$55,000 to $59,999",534
44,female,"$60,000 to $64,999",588
44,female,"$65,000 to $69,999",534
44,female,"$70,000 to $74,999",578
44,female,"$75,000 to $79,999",544
44,female,"$80,000 to $84,999",561
44,female,"$85,000 to $89,999",499
44,female,"$90,000 to $94,999",516
44,female,"$95,000 to $99,999",468
44,female,"Less than $14,999",996
45,male,"$100,000 to $124,999",2045
45,male,"$125,000 to $149,999",1395
45,male,"$15,000 to $19,999",363
45,male,"$150,000 to $174,999",1071
45,male,"$175,000 to $199,999",642
45,male,"$20,000 to $24,999",428
45,male,"$200,000 to $249,999",810
45,male,"$25,000 to $29,999",432
45,male,"$250,000 and above",2193
45,male,"$30,000 to $34,999",536
45,male,"$35,000 to $39,999",512
45,male,"$40,000 to $44,999",563
45,male,"$45,000 to $49,999",518
45,male,"$50,000 to $54,999",578
45,male,"$55,000 to $59,999",491
45,male,"$60,000 to $64,999",534
45,male,"$65,000 to $69,999",511
45,male,"$70,000 to $74,999",530
45,male,"$75,000 to $79,999",493
45,male,"$80,000 to $84,999",508
45,male,"$85,000 to $89,999",452
45,male,"$90,000 to $94,999",498
45,male,"$95,000 to $99,999",463
45,male,"Less than $14,999",738
45,female,"$100,000 to $124,999",2001
45,female,"$125,000 to $149,999",1517
45,female,"$15,000 to $19,999",447
45,female,"$150,000 to $174,999",1046
45,female,"$175,000 to $199,999",678
45,female,"$20,000 to $24,999",481
45,female,"$200,000 to $249,999",850
45,female,"$25,000 to $29,999",512
45,female,"$250,000 and above",1605
45,female,"$30,000 to $34,999",574
45,female,"$35,000 to $39,999",553
45,female,"$40,000 to $44,999",637
45,female,"$45,000 to $49,999",554
45,female,"$50,000 to $54,999",587
45,female,"$55,000 to $59,999",477
45,female,"$60,000 to $64,999",587
45,female,"$65,000 to $69,999",514
45,female,"$70,000 to $74,999",539
45,female,"$75,000 to $79,999",526
45,female,"$80,000 to $84,999",557
45,female,"$85,000 to $89,999",456
45,female,"$90,000 to $94,999",479
45,female,"$95,000 to $99,999",504
45,female,"Less than $14,999",977
46,male,"$100,000 to $124,999",2117
46,male,"$125,000 to $149,999",1458
46,male,"$15,000 to $19,999",353
46,male,"$150,000 to $174,999",1059
46,male,"$175,000 to $199,999",700
46,male,"$20,000 to $24,999",501
46,male,"$200,000 to $249,999",853
46,male,"$25,000 to $29,999",455
46,male,"$250,000 and above",2303
46,male,"$30,000 to $34,999",553
46,male,"$35,000 to $39,999",593
46,male,"$40,000 to $44,999",597
46,male,"$45,000 to $49,999",536
46,male,"$50,000 to $54,999",641
46,male,"$55,000 to $59,999",508
46,male,"$60,000 to $64,999",602
46,male,"$65,000 to $69,999",484
46,male,"$70,000 to $74,999",584
46,male,"$75,000 to $79,999",556
46,male,"$80,000 to $84,999",555
46,male,"$85,000 to $89,999",460
46,male,"$90,000 to $94,999",503
46,male,"$95,000 to $99,999",431
46,male,"Less than $14,999",762
46,female,"$100,000 to $124,999",2167
46,female,"$125,000 to $149,999",1546
46,female,"$15,000 to $19,999",470
46,female,"$150,000 to $174,999",1146
46,female,"$175,000 to $199,999",715
46,female,"$20,000 to $24,999",555
46,female,"$200,000 to $249,999",883
46,female,"$25,000 to $29,999",529
46,female,"$250,000 and above",1758
46,female,"$30,000 to $34,999",597
46,female,"$35,000 to $39,999",603
46,female,"$40,000 to $44,999",636
46,female,"$45,000 to $49,999",600
46,female,"$50,000 to $54,999",655
46,female,"$55,000 to $59,999",529
46,female,"$60,000 to $64,999",617
46,female,"$65,000 to $69,999",523
46,female,"$70,000 to $74,999",597
46,female,"$75,000 to $79,999",536
46,female,"$80,000 to $84,999",555
46,female,"$85,000 to $89,999",470
46,female,"$90,000 to $94,999",505
46,female,"$95,000 to $99,999",488
46,female,"Less than $14,999",1024
47,male,"$100,000 to $124,999",2210
47,male,"$125,000 to $149,999",1565
47,male,"$15,000 to $19,999",371
47,male,"$150,000 to $174,999",1225
47,male,"$175,000 to $199,999",741
47,male,"$20,000 to $24,999",477
47,male,"$200,000 to $249,999",907
47,male,"$25,000 to $29,999",468
47,male,"$250,000 and above",2448
47,male,"$30,000 to $34,999",557
47,male,"$35,000 to $39,999",499
47,male,"$40,000 to $44,999",557
47,male,"$45,000 to $49,999",567
47,male,"$50,000 to $54,999",646
47,male,"$55,000 to $59,999",459
47,male,"$60,000 to $64,999",599
47,male,"$65,000 to $69,999",519
47,male,"$70,000 to $74,999",548
47,male,"$75,000 to $79,999",531
47,male,"$80,000 to $84,999",555
47,male,"$85,000 to $89,999",471
47,male,"$90,000 to $94,999",511
47,male,"$95,000 to $99,999",485
47,male,"Less than $14,999",782
47,female,"$100,000 to $124,999",2200
47,female,"$125,000 to $149,999",1588
47,female,"$15,000 to $19,999",448
47,female,"$150,000 to $174,999",1227
47,female,"$175,000 to $199,999",817
47,female,"$20,000 to $24,999",587
47,female,"$200,000 to $249,999",943
47,female,"$25,000 to $29,999",556
47,female,"$250,000 and above",1782
47,female,"$30,000 to $34,999",599
47,female,"$35,000 to $39,999",567
47,female,"$40,000 to $44,999",619
47,female,"$45,000 to $49,999",552
47,female,"$50,000 to $54,999",626
47,female,"$55,000 to $59,999",556
47,female,"$60,000 to $64,999",621
47,female,"$65,000 to $69,999",572
47,female,"$70,000 to $74,999",579
47,female,"$75,000 to $79,999",569
47,female,"$80,000 to $84,999",559
47,female,"$85,000 to $89,999",525
47,female,"$90,000 to $94,999",504
47,female,"$95,000 to $99,999",463
47,female,"Less than $14,999",1011
48,male,"$100,000 to $124,999",2323
48,male,"$125,000 to $149,999",1730
48,male,"$15,000 to $19,999",324
48,male,"$150,000 to $174,999",1283
48,male,"$175,000 to $199,999",809
48,male,"$20,000 to $24,999",489
48,male,"$200,000 to $249,999",1042
48,male,"$25,000 to $29,999",483
48,male,"$250,000 and above",2637
48,male,"$30,000 to $34,999",533
48,male,"$35,000 to $39,999",539
48,male,"$40,000 to $44,999",579
48,male,"$45,000 to $49,999",580
48,male,"$50,000 to $54,999",695
48,male,"$55,000 to $59,999",540
48,male,"$60,000 to $64,999",624
48,male,"$65,000 to $69,999",555
48,male,"$70,000 to $74,999",626
48,male,"$75,000 to $79,999",559
48,male,"$80,000 to $84,999",640
48,male,"$85,000 to $89,999",475
48,male,"$90,000 to $94,999",523
48,male,"$95,000 to $99,999",509
48,male,"Less than $14,999",912
48,female,"$100,000 to $124,999",2370
48,female,"$125,000 to $149,999",1825
48,female,"$15,000 to $19,999",472
48,female,"$150,000 to $174,999",1266
48,female,"$175,000 to $199,999",886
48,female,"$20,000 to $24,999",558
48,female,"$200,000 to $249,999",1114
48,female,"$25,000 to $29,999",547
48,female,"$250,000 and above",1965
48,female,"$30,000 to $34,999",667
48,female,"$35,000 to $39,999",609
48,female,"$40,000 to $44,999",651
48,female,"$45,000 to $49,999",683
48,female,"$50,000 to $54,999",709
48,female,"$55,000 to $59,999",561
48,female,"$60,000 to $64,999",628
48,female,"$65,000 to $69,999",568
48,female,"$70,000 to $74,999",610
48,female,"$75,000 to $79,999",595
48,female,"$80,000 to $84,999",668
48,female,"$85,000 to $89,999",549
48,female,"$90,000 to $94,999",539
48,female,"$95,000 to $99,999",521
48,female,"Less than $14,999",1115
49,male,"$100,000 to $124,999",2299
49,male,"$125,000 to $149,999",1707
49,male,"$15,000 to $19,999",377
49,male,"$150,000 to $174,999",1262
49,male,"$175,000 to $199,999",889
49,male,"$20,000 to $24,999",485
49,male,"$200,000 to $249,999",972
49,male,"$25,000 to $29,999",509
49,male,"$250,000 and above",2619
49,male,"$30,000 to $34,999",549
49,male,"$35,000 to $39,999",535
49,male,"$40,000 to $44,999",617
49,male,"$45,000 to $49,999",557
49,male,"$50,000 to $54,999",657
49,male,"$55,000 to $59,999",561
49,male,"$60,000 to $64,999",674
49,male,"$65,000 to $69,999",583
49,male,"$70,000 to $74,999",572
49,male,"$75,000 to $79,999",555
49,male,"$80,000 to $84,999",585
49,male,"$85,000 to $89,999",485
49,male,"$90,000 to $94,999",539
49,male,"$95,000 to $99,999",502
49,male,"Less than $14,999",899
49,female,"$100,000 to $124,999",2329
49,female,"$125,000 to $149,999",1722
49,female,"$15,000 to $19,999",469
49,female,"$150,000 to $174,999",1246
49,female,"$175,000 to $199,999",853
49,female,"$20,000 to $24,999",593
49,female,"$200,000 to $249,999",1064
49,female,"$25,000 to $29,999",602
49,female,"$250,000 and above",1939
49,female,"$30,000 to $34,999",639
49,female,"$35,000 to $39,999",642
49,female,"$40,000 to $44,999",647
49,female,"$45,000 to $49,999",649
49,female,"$50,000 to $54,999",660
49,female,"$55,000 to $59,999",549
49,female,"$60,000 to $64,999",670
49,female,"$65,000 to $69,999",593
49,female,"$70,000 to $74,999",616
49,female,"$75,000 to $79,999",545
49,female,"$80,000 to $84,999",618
49,female,"$85,000 to $89,999",526
49,female,"$90,000 to $94,999",581
49,female,"$95,000 to $99,999",519
49,female,"Less than $14,999",1128
50,male,"$100,000 to $124,999",2382
50,male,"$125,000 to $149,999",1711
50,male,"$15,000 to $19,999",365
50,male,"$150,000 to $174,999",1251
50,male,"$175,000 to $199,999",832
50,male,"$20,000 to $24,999",473
50,male,"$200,000 to $249,999",1046
50,male,"$25,000 to $29,999",464
50,male,"$250,000 and above",2586
50,male,"$30,000 to $34,999",560
50,male,"$35,000 to $39,999",525
50,male,"$40,000 to $44,999",620
50,male,"$45,000 to $49,999",555
50,male,"$50,000 to $54,999",619
50,male,"$55,000 to $59,999",486
50,male,"$60,000 to $64,999",654
50,male,"$65,000 to $69,999",518
50,male,"$70,000 to $74,999",566
50,male,"$75,000 to $79,999",543
50,male,"$80,000 to $84,999",597
50,male,"$85,000 to $89,999",489
