age,sex,ftotinc,n
21,male,"$40,000 to $44,999",489
21,male,"$45,000 to $49,999",485
21,male,"$50,000 to $54,999",507
21,male,"$55,000 to $59,999",398
21,male,"$60,000 to $64,999",463
21,male,"$65,000 to $69,999",374
21,male,"$70,000 to $74,999",424
21,male,"$75,000 to $79,999",396
21,male,"$80,000 to $84,999",390
21,male,"$85,000 to $89,999",345
21,male,"$90,000 to $94,999",370
21,male,"$95,000 to $99,999",302
21,male,"Less than $14,999",2001
21,female,"$100,000 to $124,999",1113
21,female,"$125,000 to $149,999",877
21,female,"$15,000 to $19,999",658
21,female,"$150,000 to $174,999",578
21,female,"$175,000 to $199,999",363
21,female,"$20,000 to $24,999",680
21,female,"$200,000 to $249,999",390
21,female,"$25,000 to $29,999",558
21,female,"$250,000 and above",5716
21,female,"$30,000 to $34,999",550
21,female,"$35,000 to $39,999",456
21,female,"$40,000 to $44,999",511
21,female,"$45,000 to $49,999",426
21,female,"$50,000 to $54,999",429
21,female,"$55,000 to $59,999",345
21,female,"$60,000 to $64,999",404
21,female,"$65,000 to $69,999",341
21,female,"$70,000 to $74,999",348
21,female,"$75,000 to $79,999",321
21,female,"$80,000 to $84,999",325
21,female,"$85,000 to $89,999",299
21,female,"$90,000 to $94,999",320
21,female,"$95,000 to $99,999",298
21,female,"Less than $14,999",2514
22,male,"$100,000 to $124,999",1320
22,male,"$125,000 to $149,999",967
22,male,"$15,000 to $19,999",623
22,male,"$150,000 to $174,999",683
22,male,"$175,000 to $199,999",435
22,male,"$20,000 to $24,999",746
22,male,"$200,000 to $249,999",497
22,male,"$25,000 to $29,999",651
22,male,"$250,000 and above",4766
22,male,"$30,000 to $34,999",621
22,male,"$35,000 to $39,999",566
22,male,"$40,000 to $44,999",539
22,male,"$45,000 to $49,999",493
22,male,"$50,000 to $54,999",448
22,male,"$55,000 to $59,999",409
22,male,"$60,000 to $64,999",439
22,male,"$65,000 to $69,999",337
22,male,"$70,000 to $74,999",389
22,male,"$75,000 to $79,999",366
22,male,"$80,000 to $84,999",366
22,male,"$85,000 to $89,999",343
22,male,"$90,000 to $94,999",316
22,male,"$95,000 to $99,999",289
22,male,"Less than $14,999",2329
22,female,"$100,000 to $124,999",1114
22,female,"$125,000 to $149,999",794
22,female,"$15,000 to $19,999",775
22,female,"$150,000 to $174,999",564
22,female,"$175,000 to $199,999",345
22,female,"$20,000 to $24,999",752
22,female,"$200,000 to $249,999",402
22,female,"$25,000 to $29,999",600
22,female,"$250,000 and above",3936
22,female,"$30,000 to $34,999",625
22,female,"$35,000 to $39,999",558
22,female,"$40,000 to $44,999",513
22,female,"$45,000 to $49,999",442
22,female,"$50,000 to $54,999",420
22,female,"$55,000 to $59,999",392
22,female,"$60,000 to $64,999",359
22,female,"$65,000 to $69,999",356
22,female,"$70,000 to $74,999",348
22,female,"$75,000 to $79,999",320
22,female,"$80,000 to $84,999",300
22,female,"$85,000 to $89,999",268
22,female,"$90,000 to $94,999",287
22,female,"$95,000 to $99,999",241
22,female,"Less than $14,999",2967
23,male,"$100,000 to $124,999",1375
23,male,"$125,000 to $149,999",1007
23,male,"$15,000 to $19,999",746
23,male,"$150,000 to $174,999",715
23,male,"$175,000 to $199,999",433
23,male,"$20,000 to $24,999",775
23,male,"$200,000 to $249,999",517
23,male,"$25,000 to $29,999",678
23,male,"$250,000 and above",3418
23,male,"$30,000 to $34,999",721
23,male,"$35,000 to $39,999",619
23,male,"$40,000 to $44,999",608
23,male,"$45,000 to $49,999",508
23,male,"$50,000 to $54,999",516
23,male,"$55,000 to $59,999",440
23,male,"$60,000 to $64,999",444
23,male,"$65,000 to $69,999",393
23,male,"$70,000 to $74,999",404
23,male,"$75,000 to $79,999",373
23,male,"$80,000 to $84,999",370
23,male,"$85,000 to $89,999",294
23,male,"$90,000 to $94,999",349
23,male,"$95,000 to $99,999",288
23,male,"Less than $14,999",2107
23,female,"$100,000 to $124,999",1091
23,female,"$125,000 to $149,999",830
23,female,"$15,000 to $19,999",861
23,female,"$150,000 to $174,999",591
23,female,"$175,000 to $199,999",368
23,female,"$20,000 to $24,999",938
23,female,"$200,000 to $249,999",507
23,female,"$25,000 to $29,999",762
23,female,"$250,000 and above",2083
23,female,"$30,000 to $34,999",748
23,female,"$35,000 to $39,999",621
23,female,"$40,000 to $44,999",646
23,female,"$45,000 to $49,999",572
23,female,"$50,000 to $54,999",503
23,female,"$55,000 to $59,999",435
23,female,"$60,000 to $64,999",491
23,female,"$65,000 to $69,999",385
23,female,"$70,000 to $74,999",388
23,female,"$75,000 to $79,999",343
23,female,"$80,000 to $84,999",301
23,female,"$85,000 to $89,999",289
23,female,"$90,000 to $94,999",295
23,female,"$95,000 to $99,999",268
23,female,"Less than $14,999",2620
24,male,"$100,000 to $124,999",1321
24,male,"$125,000 to $149,999",962
24,male,"$15,000 to $19,999",742
24,male,"$150,000 to $174,999",708
24,male,"$175,000 to $199,999",432
24,male,"$20,000 to $24,999",835
24,male,"$200,000 to $249,999",564
24,male,"$25,000 to $29,999",772
24,male,"$250,000 and above",2561
24,male,"$30,000 to $34,999",831
24,male,"$35,000 to $39,999",712
24,male,"$40,000 to $44,999",733
24,male,"$45,000 to $49,999",587
24,male,"$50,000 to $54,999",704
24,male,"$55,000 to $59,999",495
24,male,"$60,000 to $64,999",494
24,male,"$65,000 to $69,999",439
24,male,"$70,000 to $74,999",474
24,male,"$75,000 to $79,999",432
24,male,"$80,000 to $84,999",388
24,male,"$85,000 to $89,999",313
24,male,"$90,000 to $94,999",318
24,male,"$95,000 to $99,999",312
24,male,"Less than $14,999",1848
24,female,"$100,000 to $124,999",1147
24,female,"$125,000 to $149,999",841
24,female,"$15,000 to $19,999",876
24,female,"$150,000 to $174,999",575
24,female,"$175,000 to $199,999",381
24,female,"$20,000 to $24,999",1017
24,female,"$200,000 to $249,999",444
24,female,"$25,000 to $29,999",824
24,female,"$250,000 and above",1306
24,female,"$30,000 to $34,999",866
24,female,"$35,000 to $39,999",758
24,female,"$40,000 to $44,999",769
24,female,"$45,000 to $49,999",640
24,female,"$50,000 to $54,999",667
24,female,"$55,000 to $59,999",549
24,female,"$60,000 to $64,999",549
24,female,"$65,000 to $69,999",424
24,female,"$70,000 to $74,999",448
24,female,"$75,000 to $79,999",362
24,female,"$80,000 to $84,999",374
24,female,"$85,000 to $89,999",316
24,female,"$90,000 to $94,999",295
24,female,"$95,000 to $99,999",292
24,female,"Less than $14,999",2215
25,male,"$100,000 to $124,999",1236
25,male,"$125,000 to $149,999",917
25,male,"$15,000 to $19,999",678
25,male,"$150,000 to $174,999",673
25,male,"$175,000 to $199,999",443
25,male,"$20,000 to $24,999",937
25,male,"$200,000 to $249,999",498
25,male,"$25,000 to $29,999",768
25,male,"$250,000 and above",2327
25,male,"$30,000 to $34,999",985
25,male,"$35,000 to $39,999",813
25,male,"$40,000 to $44,999",777
25,male,"$45,000 to $49,999",647
25,male,"$50,000 to $54,999",742
25,male,"$55,000 to $59,999",588
25,male,"$60,000 to $64,999",588
25,male,"$65,000 to $69,999",529
25,male,"$70,000 to $74,999",540
25,male,"$75,000 to $79,999",444
25,male,"$80,000 to $84,999",437
25,male,"$85,000 to $89,999",330
25,male,"$90,000 to $94,999",337
25,male,"$95,000 to $99,999",288
25,male,"Less than $14,999",1617
25,female,"$100,000 to $124,999",1240
25,female,"$125,000 to $149,999",784
25,female,"$15,000 to $19,999",792
25,female,"$150,000 to $174,999",540
25,female,"$175,000 to $199,999",369
25,female,"$20,000 to $24,999",1052
25,female,"$200,000 to $249,999",418
25,female,"$25,000 to $29,999",885
25,female,"$250,000 and above",1126
25,female,"$30,000 to $34,999",1003
25,female,"$35,000 to $39,999",864
25,female,"$40,000 to $44,999",884
25,female,"$45,000 to $49,999",688
